Driver,Team,BestLap_s,TheoreticalBest_s,QualiScore_s,Pace_norm,Prior,QualScore,PredPos,P_Pole,P_Top3,P_Q3,P_Q2,PosLow,PosHigh,PosExp,Fascia,BestLap_fmt,Theo_fmt
ANT,Mercedes,75.7117,75.714,75.5257,1.0,0.843,0.99215,1,0.26926,0.62112,0.9955799999999998,0.9999399999999998,1,6,3.2,P1-P6,1:15.712,1:15.526
RUS,Mercedes,75.76989999999999,75.7999,75.5839,0.9881197819918759,0.807,0.9790637928922821,2,0.21532,0.5593400000000001,0.9934200000000001,0.99992,1,7,3.6,P1-P7,1:15.770,1:15.584
LEC,Ferrari,75.9062,75.9064,75.76219999999999,0.9517238563759226,0.803,0.9442876635571265,3,0.13216,0.41802000000000006,0.9850400000000001,0.9996200000000001,1,8,4.3,P1-P8,1:15.906,1:15.762
HAM,Ferrari,75.9118,75.9034,75.7678,0.9505807426156905,0.807,0.9434017054849059,4,0.1295,0.4192,0.98588,0.9997999999999998,1,8,4.3,P1-P8,1:15.912,1:15.768
PIA,McLaren,76.01740000000001,76.0083,75.77740000000001,0.9486211190267174,0.741,0.9382400630753815,5,0.10772,0.37098,0.9814999999999999,0.9996399999999999,1,8,4.6,P1-P8,1:16.017,1:15.777
NOR,McLaren,76.09909999999999,76.0957,75.8591,0.9319439057747663,0.764,0.9235467104860279,6,0.09024,0.3297,0.97454,0.99934,2,8,4.9,P2-P8,1:16.099,1:15.859
VER,Red Bull Racing,76.0399,76.029,76.0639,0.8901386025434274,0.766,0.8839316724162559,7,0.0455,0.20368,0.94648,0.9979999999999999,2,9,5.9,P2-P9,1:16.040,1:16.064
HAD,Red Bull Racing,76.4199,76.4367,76.4439,0.8125701688134073,0.7,0.8069416603727368,8,0.00834,0.05754,0.8028600000000001,0.9846200000000003,4,12,8.2,P4-P12,1:16.420,1:16.444
HUL,Audi,76.9375,76.9388,77.0335,0.6922166200575631,0.644,0.6898057890546849,9,0.00046,0.0039,0.3658,0.8545800000000001,8,16,11.8,P8-P16,1:16.938,1:17.034
LIN,Racing Bulls,76.82910000000001,76.8456,77.0691,0.6849496825818029,0.668,0.6841021984527127,10,0.00038,0.00406,0.35626,0.8491600000000001,8,16,11.9,P8-P16,1:16.829,1:17.069
BOR,Audi,76.9921,76.9833,77.0881,0.6810712608953036,0.663,0.6801676978505383,11,0.00032,0.0034799999999999996,0.3376,0.83868,8,16,12.0,P8-P16,1:16.992,1:17.088
LAW,Racing Bulls,76.8913,76.9026,77.1313,0.6722529547449435,0.707,0.6739903070076962,12,0.00036,0.0035800000000000003,0.3302,0.83194,8,16,12.1,P8-P16,1:16.891,1:17.131
GAS,Alpine,77.12440000000001,77.1675,77.19640000000001,0.6589642572822447,0.72,0.6620160444181324,13,0.00014,0.00254,0.29169999999999996,0.8066999999999999,8,17,12.4,P8-P17,1:17.124,1:17.196
COL,Alpine,77.177,77.218,77.24900000000001,0.6482271530343526,0.704,0.651015795382635,14,0.00016,0.0016200000000000001,0.25492000000000004,0.7719400000000001,9,17,12.8,P9-P17,1:17.177,1:17.249
BEA,Haas F1 Team,77.33900000000001,77.3435,77.38700000000001,0.6200575639429229,0.703,0.6242046857457767,15,8e-05,0.0007999999999999999,0.18042,0.6921200000000001,9,17,13.6,P9-P17,1:17.339,1:17.387
SAI,Williams,77.45100000000001,77.4749,77.58300000000001,0.5800485823348072,0.679,0.5849961532180669,16,2e-05,0.00024,0.09502,0.5325199999999999,11,18,14.8,P11-P18,1:17.451,1:17.583
OCO,Haas F1 Team,77.55550000000001,77.5631,77.60350000000001,0.57586396946253,0.665,0.5803207709894035,17,4e-05,0.00018,0.08914,0.5085200000000001,11,18,14.9,P11-P18,1:17.556,1:17.604
ALB,Williams,77.70819999999999,77.6694,77.8402,0.5275470003470174,0.611,0.5317196503296665,18,0.0,2e-05,0.03312,0.30685999999999997,13,19,16.3,P13-P19,1:17.708,1:17.840
PER,Cadillac,78.4992,78.4922,78.7692,0.3379125926228339,0.617,0.3518669629916922,19,0.0,0.0,0.00042,0.01688,18,21,19.3,P18-P21,1:18.499,1:18.769
BOT,Cadillac,78.63,78.5837,78.89999999999999,0.31121272122313326,0.593,0.3253020851619766,20,0.0,0.0,0.0001,0.00836,18,21,19.7,P18-P21,1:18.630,1:18.900
ALO,Aston Martin,79.108,79.0357,79.30000000000001,0.22956173834942273,0.594,0.24778365143195158,21,0.0,0.0,0.0,0.00086,19,21,20.5,P19-P21,1:19.108,1:19.300
STR,Aston Martin,80.2326,80.1179,80.4246,0.0,0.601,0.03005,22,0.0,0.0,0.0,0.0,22,22,21.9,P22-P22,1:20.233,1:20.425
